"","_num","_widgetName","_source","_resultNumber","_pageUrl","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"80",715,"Inc5000 Company List","Inc5000 Company List",715,"http://www.inc.com/inc5000list/json/inc5000_2014.json",22963,715,12,"The Logistics Store","the-logistics-store","Missouri","MO","Liberty","Kansas City MO-KS",635.63,11314000,"Logistics & Transportation",2
"81",716,"Inc5000 Company List","Inc5000 Company List",716,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25731,716,11,"Military Resale Solutions","military-resale-solutions","Virginia","VA","Chesapeake","Virginia Beach-Norfolk-Newport News VA-NC",635.1,11873410,"Government Services",1
"82",718,"Inc5000 Company List","Inc5000 Company List",718,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21238,718,65,"FluidEdge Consulting","fluidedge-consulting","Pennsylvania","PA","Malvern","Philadelphia",632.02,14015199,"Health",3
"83",719,"Inc5000 Company List","Inc5000 Company List",719,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26228,719,41,"Synergy Wireless Solutions","synergy-wireless-solutions","Virginia","VA","Herndon","Washington DC",630.29,4966000,"Telecommunications",1
"84",721,"Inc5000 Company List","Inc5000 Company List",721,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23276,721,20,"Cradle Solution","cradle-solution","Texas","TX","Houston","Houston",629.12,5167676,"Software",2
"85",722,"Inc5000 Company List","Inc5000 Company List",722,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23067,722,20,"Gravity Media","gravity-media","New York","NY","New York","New York City",628.96,19106076,"Advertising & Marketing",2
"86",723,"Inc5000 Company List","Inc5000 Company List",723,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21166,723,160,"Janrain","janrain","Oregon","OR","Portland","Portland OR",628.49,9994679,"Software",3
"87",724,"Inc5000 Company List","Inc5000 Company List",724,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23758,724,50,"ContextMedia","contextmedia","Illinois","IL","Chicago","Chicago",628.33,15101896,"Health",2
"88",725,"Inc5000 Company List","Inc5000 Company List",725,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25760,725,181,"rateGenius","rategenius","Texas","TX","Austin","Austin",628.31,32262219,"Financial Services",1
"89",727,"Inc5000 Company List","Inc5000 Company List",727,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21025,727,37,"GarbageMan A Green Company","garbageman-a-green-company","Minnesota","MN","Plymouth","Minneapolis",627.37,18042465,"Environmental Services",3
"90",728,"Inc5000 Company List","Inc5000 Company List",728,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23261,728,12,"Transportation Impact","transportation-impact","North Carolina","NC","Emerald Isle","Morehead City NC",627.03,7080133,"Logistics & Transportation",2
"91",729,"Inc5000 Company List","Inc5000 Company List",729,"http://www.inc.com/inc5000list/json/inc5000_2014.json",21030,729,69,"Dynamic Recycling","dynamic-recycling","Wisconsin","WI","La Crosse","La Crosse WI-MN",626.05,22655060,"Manufacturing",3
"92",730,"Inc5000 Company List","Inc5000 Company List",730,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23161,730,5,"Odyssey Telecommunications","odyssey-telecommunications","New York","NY","Colden","Buffalo-Niagara Falls NY",626.04,4141568,"Telecommunications",2
"93",731,"Inc5000 Company List","Inc5000 Company List",731,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26081,731,13,"Ruston Properties","ruston-properties","Louisiana","LA","Baton Rouge","Baton Rouge LA",625,2764331,"Real Estate",1
"94",733,"Inc5000 Company List","Inc5000 Company List",733,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26132,733,26,"King Memory","king-memory","Ohio","OH","Columbus","Columbus OH",623.79,2386964,"Computer Hardware",1
"95",734,"Inc5000 Company List","Inc5000 Company List",734,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26115,734,22,"Security America Mortgage","security-america-mortgage","Texas","TX","Houston","Houston",623.77,2829654,"Financial Services",1
"96",735,"Inc5000 Company List","Inc5000 Company List",735,"http://www.inc.com/inc5000list/json/inc5000_2014.json",22939,735,48,"C-4 Analytics","c-4-analytics","Massachusetts","MA","Saugus","Boston",622.66,7228351,"Advertising & Marketing",2
"97",737,"Inc5000 Company List","Inc5000 Company List",737,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23073,737,80,"Patient Engagement Advisors","patient-engagement-advisors","Alabama","AL","Birmingham","Birmingham-Hoover AL",621.09,3832670,"Health",2
"98",738,"Inc5000 Company List","Inc5000 Company List",738,"http://www.inc.com/inc5000list/json/inc5000_2014.json",24894,738,12,"Body Armor Outlet","body-armor-outlet","New Hampshire","NH","Salem","Boston",619.8,2410806,"Government Services",1
"99",740,"Inc5000 Company List","Inc5000 Company List",740,"http://www.inc.com/inc5000list/json/inc5000_2014.json",23819,740,54,"Data Systems Integration Group","data-systems-integration-group","Ohio","OH","Dublin","Columbus OH",619.23,4732324,"IT Services",2
"100",742,"Inc5000 Company List","Inc5000 Company List",742,"http://www.inc.com/inc5000list/json/inc5000_2014.json",25709,742,12,"Hotels for Hope","hotels-for-hope","Texas","TX","Austin","Austin",615.29,2029602,"Travel & Hospitality",1
"101",743,"Inc5000 Company List","Inc5000 Company List",743,"http://www.inc.com/inc5000list/json/inc5000_2014.json",24158,743,58,"HostVentures.com","hostventurescom","Maryland","MD","White Marsh","Baltimore",612.53,12548324,"IT Services",2
"102",744,"Inc5000 Company List","Inc5000 Company List",744,"http://www.inc.com/inc5000list/json/inc5000_2014.json",26422,744,10,"VetInternetCo.com","vetinternetcocom","Alabama","AL","Union Grove","Albertville AL",612.52,3112896,"Retail",1
